Mode,Epoch,Minor_Dice,Major_Dice,Destroyed_Dice,Minor_Recall,Major_Recall,Destroyed_Recall,Minor_Precision,Major_Precision,Destroyed_Precision,Minor_GT,Major_GT,Destroyed_GT,Minor_Pred,Major_Pred,Destroyed_Pred,Logits_Minor,Logits_Major,Logits_Destroyed
A,1,0.0020478270352349017,0.0,,0.9731071591377258,0.0,0.0,0.0010249919723719358,0.0,0.0,2417,163,0,2294652,0,0,0.6556925939189063,0.12940520172317824,-0.1806040017141236
A,2,0.0017933449341996732,0.0009348093480934809,0.0,0.6971452236175537,0.11656441539525986,0.0,0.0008978272671811283,0.00046928643132559955,0.0,2417,163,0,1876753,40487,7300,0.6519561343722873,0.12849656285511124,-0.181099866827329
A,3,0.0020644616255617284,0.0,0.0,0.7724452018737793,0.0,0.0,0.001033612061291933,0.0,0.0,2417,163,0,1806287,157235,6194,0.6504469116528829,0.12601021428902945,-0.1826370664768749
A,4,0.0019900486019995196,3.1002464695943325e-05,0.0,0.7128672003746033,0.01840490847826004,0.0,0.0009964151540771127,1.551429886603728e-05,0.0,2417,163,0,1729199,193370,4361,0.6473849846257104,0.1251695098148452,-0.18356871687703663
A,5,0.002035132510954089,0.00016019406366569788,0.0,0.7314853072166443,0.08588957041501999,0.0,0.0010189837776124477,8.017179789021611e-05,0.0,2417,163,0,1735062,174625,5032,0.6469398505157895,0.12451674416661263,-0.1826872875293096
B,1,0.0020473108923813148,0.0,,0.9735208749771118,0.0,0.0,0.001024732948280871,0.0,0.0,2417,163,0,2296208,0,0,0.6560008890098996,0.12962484856446585,-0.18044028927882513
B,2,0.001788735850239047,0.0008820286659316428,0.0,0.6967315077781677,0.11042945086956024,0.0,0.00089551747078076,0.00044278264977037907,0.0,2417,163,0,1880477,40652,7267,0.6533329983552297,0.12955987950166067,-0.18037847181161246
B,3,0.0020602711955907994,0.0,0.0,0.773686408996582,0.0,0.0,0.0010315090185031295,0.0,0.0,2417,163,0,1812878,157540,6086,0.6529852218098111,0.12795991284979713,-0.18123574472135967
B,4,0.0019910941695468476,3.1000222168258875e-05,0.0,0.7157633304595947,0.01840490847826004,0.0,0.0009969336679205298,1.551317654957529e-05,0.0,2417,163,0,1735321,193384,4374,0.6506157318751017,0.12781456982096037,-0.18170584986607233
B,5,0.002048834961585778,0.00017071935445321437,0.0,0.7393463253974915,0.0920245423913002,0.0,0.0010258388938382268,8.543892909074202e-05,0.0,2417,163,0,1741989,175564,5132,0.6507431103123559,0.12754246965050697,-0.18056885566976336
C,1,0.0020504805459458965,0.0,,0.9726934432983398,0.0,0.0,0.0010263220174238086,0.0,0.0,2417,163,0,2290704,0,0,0.65499190820588,0.12888013074795404,-0.18095391160911983
C,2,0.0017903609277791503,0.001038241910365115,0.0,0.6925941109657288,0.12883435189723969,0.0,0.0008963390137068927,0.000521221139933914,0.0,2417,163,0,1867597,40290,7493,0.6488157146506839,0.1260657124221325,-0.1827916039360894
C,3,0.0020718548294321776,0.0,0.0,0.7674803733825684,0.0,0.0,0.0010373275727033615,0.0,0.0,2417,163,0,1788249,158029,6367,0.644568963183297,0.12148843995398945,-0.1858917996287346
C,4,0.0019905663954821375,0.0,0.0,0.7058336734771729,0.0,0.0,0.0009966886136680841,0.0,0.0,2417,163,0,1711668,191941,4444,0.639905720949173,0.11904346901509497,-0.18780978520711264
C,5,0.0019863218890573946,0.00012783265543288785,0.0,0.7050061821937561,0.06748466193675995,0.0,0.0009945620549842715,6.397692050086334e-05,0.0,2417,163,0,1713317,171937,4992,0.6381418241394891,0.11750299359361331,-0.18746185468302834
D,1,0.0020487439030923227,0.0,,0.9731071591377258,0.0,0.0,0.0010254514636471868,0.0,0.0,2417,163,0,2293624,0,0,0.6558147569497427,0.12944058370259073,-0.18058526267608008
D,2,0.001787889284956029,0.0009438648782911078,0.0,0.6950765252113342,0.11656441539525986,0.0,0.0008950958144851029,0.0004738509014714509,0.0,2417,163,0,1876894,40097,7400,0.6523817545837827,0.128690917044878,-0.18103479511208004
D,3,0.0020548099658283343,0.0,0.0,0.7728589177131653,0.0,0.0,0.0010287725599482656,0.0,0.0,2417,163,0,1815756,156189,6281,0.6511339147885641,0.1263011342121495,-0.1824980229139328
D,4,0.0019733171702700654,3.1118233729053536e-05,0.0,0.7112122178077698,0.01840490847826004,0.0,0.0009880292927846313,1.5572280972264707e-05,0.0,2417,163,0,1739827,192650,4413,0.6483824716673957,0.1256176316075855,-0.1833483874797821
D,5,0.002031199638643401,0.000148473012174787,0.0,0.7339677214622498,0.07975459843873978,0.0,0.0010170070454478264,7.430567347910255e-05,0.0,2417,163,0,1744334,174953,5129,0.6480713685353597,0.1249863211479452,-0.18245234423213536
